Team,Player,PlayerUrl,TotalMatches,TotalPoints,TotalRaidPoints,TotalDefencePoints,TotalRaids,SuccRaids,UnSuccRaids,EmptyRaids,Tackles,SuccTackles,UnSuccTackles,GreenCards,RedCards,YellowCards
BengalWarriors,Anil Kumar,/players/765-anil-kumar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengalWarriors,Deepak Narwal,/players/211-deepak-narwal-playerprofile,31,107,101,6,259,74,70,115,20,5,15,0,0,0
BengalWarriors,Jang Kun Lee,/players/12-jang-kun-lee-playerprofile,51,262,243,19,527,188,121,218,66,17,49,2,0,0
BengalWarriors,Kuldeep,/players/767-kuldeep-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengalWarriors,Maninder Singh,/players/143-maninder-singh-playerprofile,16,137,130,7,175,103,42,30,19,6,13,0,0,0
BengalWarriors,Rahul Kumar,/players/288-rahul-kumar-playerprofile,20,16,0,16,0,0,0,0,62,14,48,0,0,0
BengalWarriors,Sandeep Malik,/players/727-sandeep-malik-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengalWarriors,Virendra Singh,/players/789-virendra-singh-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengalWarriors,Ameares Mondal,/players/602-ameares-mondal-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengalWarriors,Shashank Wankhede,/players/279-shashank-wankhede-playerprofile,2,0,0,0,1,0,1,0,3,0,3,0,0,0
BengalWarriors,Young Chang Ko,/players/519-young-chang-ko-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengalWarriors,Bhupender Singh,/players/34-bhupender-singh-playerprofile,26,42,33,9,109,26,27,56,31,9,22,2,0,0
BengalWarriors,Ran Singh,/players/160-ran-singh-playerprofile,54,154,49,105,117,34,24,59,208,98,110,0,0,0
BengalWarriors,Ravindra Ramesh Kumavat,/players/370-ravindra-ramesh-kumavat-playerprofile,2,3,2,1,8,2,3,3,1,1,0,0,0,0
BengaluruBulls,Ajay Kumar,/players/389-ajay-kumar-playerprofile,15,61,61,0,107,44,23,40,7,0,7,1,0,0
BengaluruBulls,Gurvinder Singh,/players/46-gurvinder-singh-playerprofile,34,72,61,11,181,46,45,90,45,10,35,0,0,0
BengaluruBulls,Sinotharan Kanesharajah,/players/21-sinotharan-kanesharajah-playerprofile,3,6,5,1,8,2,1,5,2,1,1,0,0,0
BengaluruBulls,Sumit Singh,/players/363-sumit-singh-playerprofile,5,9,7,2,20,5,6,9,5,1,4,0,0,0
BengaluruBulls,Ravinder Pahal,/players/157-ravinder-pahal-playerprofile,48,164,12,152,51,7,7,37,290,139,151,7,0,0
BengaluruBulls,Mahender Singh,/players/769-mahender-singh-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengaluruBulls,Amit Sheoran,/players/794-amit-sheoran-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengaluruBulls,Sachin Kumar,/players/218-sachin-kumar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengaluruBulls,Amit,/players/723-amit-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengaluruBulls,Ankit Sangwan,/players/675-ankit-sangwan-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BengaluruBulls,Ashish Kumar,/players/202-ashish-kumar-playerprofile,32,74,23,51,77,18,13,46,115,44,71,1,0,0
BengaluruBulls,Preetam Chhillar,/players/167-preetam-chhillar-playerprofile,42,38,12,26,42,8,12,22,85,26,59,2,0,1
DabangDelhi,Abolfaezl Maghsodlou Mahali,/players/300-abolfazl-maghsodlou-playerprofile,12,25,25,0,39,18,15,6,1,0,1,0,0,0
DabangDelhi,Ravi Dalal,/players/92-ravi-dalal-playerprofile,33,171,168,3,406,134,86,186,30,3,27,1,0,0
DabangDelhi,Rohit Baliyan,/players/261-rohit-baliyan-playerprofile,16,68,66,2,132,55,26,51,21,2,19,1,0,0
DabangDelhi,Shubham Ashok Palkar,/players/605-shubham-ashok-palkar-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DabangDelhi,Suraj Desai,/players/115-suraj-desai-playerprofile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
